Size,Merge Sort,Insertion Sort
10,2.41e-06,9.4e-07
20,4.5e-06,2.16e-06
30,7.11e-06,3.28e-06
40,9.75001e-06,4.77e-06
50,1.286e-05,7.27e-06
60,1.55e-05,1.052e-05
70,1.755e-05,1.303e-05
80,1.921e-05,1.642e-05
90,2.231e-05,2.056e-05
100,2.506e-05,2.449e-05
110,2.822e-05,2.953e-05
120,3.084e-05,3.451e-05
130,3.404e-05,4.049e-05
140,3.708e-05,4.768e-05
150,4.012e-05,5.22e-05
160,4.31e-05,5.871e-05
170,4.63999e-05,6.54099e-05
180,4.926e-05,7.263e-05
190,5.287e-05,8.048e-05
200,5.67e-05,8.67301e-05
210,5.91101e-05,9.91e-05
220,6.263e-05,0.00010849
230,6.546e-05,0.00011659
240,6.859e-05,0.00012453
250,7.114e-05,0.00013519
260,7.493e-05,0.0001484
270,7.779e-05,0.00015822
280,8.247e-05,0.00016935
290,8.624e-05,0.00017957
300,8.86101e-05,0.00018894
310,9.06801e-05,0.00020418
320,9.384e-05,0.00021829
330,9.813e-05,0.00023262
340,0.00010134,0.00024732
350,0.00010477,0.00026399
